model,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted
RandomForest (tuned),0.6390899689762151,0.6413513888041621,0.6394216808540703,0.6395456225672002,0.6390587256267081
GradientBoosting (tuned),0.6390899689762151,0.6421814711860002,0.6393412497054852,0.6378663350696915,0.6374042121927519
GradientBoosting,0.6370217166494312,0.6399356171209946,0.6372758833789708,0.6349260982923911,0.6344766436693292
KNN,0.6344364012409514,0.6366436421257674,0.6346866432165782,0.6332631043400815,0.6328274032995661
"MLP (64,) relu",0.6318510858324715,0.6307958407467974,0.6323001197112338,0.6301780398021917,0.6296729315181732
RandomForest,0.6251292657704239,0.6268009005685312,0.6256297434910087,0.626158140514869,0.6256357393073104
KNN (tuned),0.6240951396070321,0.6255340533083281,0.6245559656327176,0.624840627063599,0.6243033511394497
DecisionTree (tuned),0.6240951396070321,0.6262627328888025,0.624431802426875,0.6246280256686271,0.6241479983935806
MLP (neural net),0.6220268872802482,0.6221370609339906,0.6224854403046556,0.6222545282118006,0.6217709323703113
LogisticRegression,0.6158221302998966,0.6106961490148927,0.6164708358954757,0.61056348361228,0.6099779103183275
LogisticRegression (tuned),0.6158221302998966,0.6106961490148927,0.6164708358954757,0.61056348361228,0.6099779103183275
DecisionTree,0.6085832471561531,0.6381709104406791,0.6082572537390928,0.6082405331340633,0.6078986013240639
Baseline (majority),0.33660806618407446,0.11220268872802482,0.3333333333333333,0.16789168278529978,0.1695410840122495
